#Time 	 PotE 	 kT 	 vx 	 vy 	 vz
Time = 0.9400 	 PotE = -4139.48 	 kT = 2.1431 	 vx = 0.017818 	 vy = -0.046055 	 vz = -0.048428
Time = 0.9450 	 PotE = -4168.37 	 kT = 2.0168 	 vx = 0.022304 	 vy = -0.064908 	 vz = 0.019229
Time = 0.9500 	 PotE = -4187.84 	 kT = 2.0699 	 vx = -0.032209 	 vy = 0.027017 	 vz = -0.026676
Time = 0.9550 	 PotE = -4185.73 	 kT = 1.9646 	 vx = -0.027185 	 vy = -0.000276 	 vz = -0.051244
Time = 0.9600 	 PotE = -4195.07 	 kT = 1.9643 	 vx = -0.004149 	 vy = -0.043469 	 vz = -0.082014
Time = 0.9650 	 PotE = -4198.42 	 kT = 1.9602 	 vx = -0.006798 	 vy = -0.008639 	 vz = -0.080712
Time = 0.9700 	 PotE = -4197.18 	 kT = 1.9709 	 vx = -0.031747 	 vy = -0.033315 	 vz = 0.024777
Time = 0.9750 	 PotE = -4188.48 	 kT = 1.9453 	 vx = -0.036056 	 vy = -0.080571 	 vz = 0.014543
Time = 0.9800 	 PotE = -4177.89 	 kT = 1.9421 	 vx = 0.040626 	 vy = -0.070794 	 vz = 0.014767
Time = 0.9850 	 PotE = -4170.42 	 kT = 1.9096 	 vx = 0.078259 	 vy = -0.047220 	 vz = -0.002327
Time = 0.9900 	 PotE = -4154.27 	 kT = 2.0053 	 vx = -0.026352 	 vy = 0.031020 	 vz = -0.012647
Time = 0.9950 	 PotE = -4144.29 	 kT = 1.9769 	 vx = -0.000105 	 vy = 0.072854 	 vz = 0.008693
Time = 1.0000 	 PotE = -4145.67 	 kT = 1.8746 	 vx = -0.035542 	 vy = 0.089990 	 vz = -0.031500
Time = 1.0050 	 PotE = -4138.34 	 kT = 1.8536 	 vx = -0.031637 	 vy = 0.058000 	 vz = -0.007919
Time = 1.0100 	 PotE = -4104.76 	 kT = 1.9872 	 vx = -0.071728 	 vy = 0.088177 	 vz = 0.041155
Time = 1.0150 	 PotE = -4079.33 	 kT = 2.0218 	 vx = -0.050939 	 vy = 0.095638 	 vz = 0.071100
Time = 1.0200 	 PotE = -4059.49 	 kT = 2.0017 	 vx = -0.070478 	 vy = 0.054959 	 vz = 0.028786
Time = 1.0250 	 PotE = -4039.89 	 kT = 2.0050 	 vx = 0.033234 	 vy = 0.062085 	 vz = -0.028860
Time = 1.0300 	 PotE = -4040.27 	 kT = 1.9955 	 vx = -0.030579 	 vy = 0.047489 	 vz = -0.038191
Time = 1.0350 	 PotE = -4058.86 	 kT = 2.0048 	 vx = -0.021417 	 vy = 0.100733 	 vz = -0.000185
Time = 1.0400 	 PotE = -4090.21 	 kT = 2.0649 	 vx = 0.040094 	 vy = 0.061208 	 vz = 0.040463
Time = 1.0450 	 PotE = -4106.63 	 kT = 2.0266 	 vx = 0.019685 	 vy = 0.050791 	 vz = -0.002397
Time = 1.0500 	 PotE = -4128.04 	 kT = 2.0474 	 vx = -0.010517 	 vy = 0.094476 	 vz = -0.011785
Time = 1.0550 	 PotE = -4131.05 	 kT = 1.9893 	 vx = -0.012149 	 vy = 0.067086 	 vz = -0.004344
Time = 1.0600 	 PotE = -4124.00 	 kT = 2.0536 	 vx = -0.036145 	 vy = -0.003451 	 vz = 0.066595
Time = 1.0650 	 PotE = -4112.80 	 kT = 1.9698 	 vx = -0.023351 	 vy = -0.041236 	 vz = 0.022139
Time = 1.0700 	 PotE = -4108.72 	 kT = 2.0215 	 vx = -0.038819 	 vy = 0.005358 	 vz = 0.030005
Time = 1.0750 	 PotE = -4100.27 	 kT = 2.0701 	 vx = -0.015004 	 vy = -0.006462 	 vz = 0.040234
Time = 1.0800 	 PotE = -4103.04 	 kT = 2.0409 	 vx = 0.053270 	 vy = 0.032997 	 vz = -0.014053
